CAEX-790D-LIEBHERR-996					
6					
Cycle Time (m) Truck					
Cycle Time (m) Exc					
Loader Passes					
Payload(tonnes)	 				
ton/passes 					
Cycle Time (m) TE					
20.37	2.43	4	233.6	58.4	17.94
19.4	1.92	4	207.1	51.78	17.48
19.23	2.17	4	235.5	58.88	17.06
20.73	2.42	4	222	55.5	18.31
19.07	2.18	4	224.1	56.03	16.89
19.15	1.95	4	193.2	48.3	17.2
22.88	1.93	4	174.1	43.53	20.95
21.4	2.43	4	216.6	54.15	18.97
22.17	2.08	4	223.2	55.8	20.09
20.15	2.07	4	217.2	54.3	18.08
17.8	2.03	4	227.5	56.88	15.77
18.18	2.17	4	239.9	59.98	16.01
21.83	2.07	4	212	53	19.76
18.88	1.73	4	225.5	56.38	17.15
17.92	1.83	4	232.5	58.13	16.09
17.65	1.88	4	182	45.5	15.77
18.57	1.9	4	204.4	51.1	16.67
18.6	2.02	4	181.6	45.4	16.58
18.85	2.27	4	194.6	48.65	16.58
19.97	1.87	4	182.6	45.65	18.1
18.68	1.73	4	157	39.25	16.95
19.53	1.8	4	160.4	40.1	17.73
26.8	2.25	4	221.9	55.48	24.55
20.87	3.1	4	244.5	61.13	17.77
17.95	2.18	4	214.5	53.63	15.77
19.85	2.02	4	224.6	56.15	17.83
20.92	2.72	4	215.5	53.88	18.2
22.75	2.13	4	233.2	58.3	20.62
21.13	2.43	4	221.4	55.35	18.7
20.82	2.55	4	210.9	52.73	18.27
20.65	2.5	4	225.4	56.35	18.15
19.47	2.02	4	212.7	53.18	17.45
23.63	2.15	4	222.1	55.53	21.48
19.25	1.87	4	211.4	52.85	17.38
18.33	1.87	4	207.4	51.85	16.46
21.73	1.85	4	221.1	55.28	19.88
17.95	1.88	4	199.4	49.85	16.07
18.3	1.98	4	221.9	55.48	16.32
16.97	1.95	4	191	47.75	15.02
17.18	1.98	4	207.6	51.9	15.2
17.9	2.03	4	230.1	57.53	15.87
19.2	2.08	4	188.3	47.08	17.12
18.05	1.98	4	214.6	53.65	16.07
19.25	1.8	4	205.6	51.4	17.45
18.33	1.98	4	219.2	54.8	16.35
17.92	1.95	4	219.8	54.95	15.97
19.35	1.83	4	212	53	17.52
